Požymis,Minimumas,1-as kvartilis,Mediana,Vidurkis,3-as kvartilis,Maksimumas,Dispersija,Neegzistuojančios reikšmės
RR_pre,255.5556,450,508.3333,515.9694,552.7778,1147.2222,13759.9328,0
RR_post,277.7778,700,827.7778,871.3056,1058.3333,1644.4444,77094.1242,0
RR_vid,372.2222,597.9167,681.8056,722.9601,797.2917,10915,126329.5845,0
RR_sant_vid,0.0664,0.6358,0.7121,0.7333,0.8091,1.2175,0.0187,0
RR_sant_post,0.275,0.4845,0.5745,0.6514,0.7436,1.9013,0.0637,0
PR,-36.1111,116.6667,152.7778,152.1242,186.1111,319.4444,2612.3244,813
QRS,44.4444,108.3333,136.1111,142.1848,172.2222,430.5556,2155.0679,19
QT,169.4444,382.6389,413.8889,417.3963,444.4444,919.4444,4179.5696,52
QTc,280.8943,535.3559,579.226,587.0572,640.1137,1044.4187,8457.8927,52
P_amp,-2.065,-0.16,-0.005,-0.0159,0.1375,2.13,0.1706,813
T_amp,-3.425,-0.715,-0.1625,-0.0989,0.7063,2.28,0.8756,52
ST,-3.08,-0.52,-0.265,-0.1892,0.16,2.105,0.3609,19
QRS_max,0,0.55,1.315,1.3091,1.745,3.665,0.7439,19
QRS_min,-2.935,-1.565,-0.64,-0.8984,-0.265,0,0.5849,19
P_yra,–,–,–,–,–,–,–,17
T_tipas,–,–,–,–,–,–,–,50
