Požymis,Minimumas,1-as kvartilis,Mediana,Vidurkis,3-as kvartilis,Maksimumas,Dispersija,Neegzistuojančios reikšmės
RR_pre,347.2222,491.6667,686.1111,617.2278,733.3333,1263.8889,19122.4032,0
RR_post,327.7778,690.2778,736.1111,870.6123,838.8889,5694.4444,290868.4763,1
RR_vid,360.2778,671.875,848.0556,834.2963,1016.8056,1801.6667,62956.0835,0
RR_sant_vid,0.3928,0.6643,0.7577,0.7717,0.8683,1.1207,0.0216,0
RR_sant_post,0.1312,0.6519,0.957,0.83,1.0071,1.6813,0.0645,1
PR,66.6667,161.1111,191.6667,189.1179,211.1111,333.3333,1855.0198,527
QRS,30.5556,55.5556,77.7778,91.6415,125,252.7778,1734.7831,5
QT,183.3333,363.1944,419.4444,398.4581,436.8056,786.1111,4926.76,56
QTc,265.2336,479.6614,503.1734,504.5449,534.3519,1140.6099,4654.4489,56
P_amp,-0.97,-0.045,0.005,0.0287,0.06,0.685,0.0208,527
T_amp,-0.855,0.1487,0.265,0.2006,0.31,0.85,0.046,56
ST,-1.145,-0.135,-0.035,-0.0364,0.03,0.62,0.0226,5
QRS_max,0,0.705,0.855,1.0273,1.39,3.53,0.2714,5
QRS_min,-1.485,-0.475,-0.395,-0.4619,-0.33,0,0.0916,5
P_yra,–,–,–,–,–,–,–,4
T_tipas,–,–,–,–,–,–,–,55
