Požymis,Minimumas,1-as kvartilis,Mediana,Vidurkis,3-as kvartilis,Maksimumas,Dispersija,Neegzistuojančios reikšmės
RR_pre,605.5556,727.7778,798.6111,812.2801,863.8889,1386.1111,13146.7802,2
RR_post,363.8889,722.2222,786.1111,790.4238,861.1111,1061.1111,10881.0444,1
RR_vid,620,720.2778,799.5833,811.841,856.1111,11036.6667,112613.638,2
RR_sant_vid,0.1226,0.9685,0.9981,1.0126,1.0344,1.67,0.0102,2
RR_sant_post,0.7491,0.9806,1.0064,1.036,1.032,2.1151,0.0228,3
PR,83.3333,172.2222,194.4444,197.72,222.2222,311.1111,1153.3905,481
QRS,61.1111,102.7778,136.1111,132.8123,163.8889,444.4444,1516.513,3
QT,252.7778,394.4444,444.4444,477.7498,525,844.4444,13173.1253,8
QTc,289.217,436.4515,519.3008,530.3504,590.0693,847.9851,12911.1923,9
P_amp,-0.6,-0.0225,0.07,0.052,0.15,0.45,0.024,481
T_amp,-1.025,-0.35,-0.2175,-0.0416,0.4012,0.765,0.1522,8
ST,-0.82,-0.32,-0.205,-0.1782,0,0.635,0.0515,3
QRS_max,0,0.525,1.585,1.3028,1.945,3.18,0.7098,3
QRS_min,-1.595,-0.76,-0.635,-0.5717,-0.225,0,0.1527,3
P_yra,–,–,–,–,–,–,–,3
T_tipas,–,–,–,–,–,–,–,8
