Požymis,Minimumas,1-as kvartilis,Mediana,Vidurkis,3-as kvartilis,Maksimumas,Dispersija,Neegzistuojančios reikšmės
RR_pre,350,655.5556,752.7778,802.0833,919.4444,1988.8889,51089.7124,0
RR_post,341.6667,624.3056,730.5556,776.9083,897.2222,1844.4444,49931.1428,0
RR_vid,446.1111,647.0139,730.8333,785.1389,900.625,1709.7222,39914.2106,0
RR_sant_vid,0.5261,0.9775,1.0029,1.021,1.0371,1.7594,0.0146,0
RR_sant_post,0.3688,0.975,1.0054,1.0547,1.0452,4.069,0.0571,0
PR,75,136.1111,155.5556,158.2377,177.7778,333.3333,1270.1531,477
QRS,36.1111,63.8889,80.5556,85.9487,97.2222,341.6667,1178.8863,8
QT,213.8889,358.3333,405.5556,420.1396,461.1111,875,7767.2599,37
QTc,276.4941,414.2019,454.9305,475.0128,531.517,859.6168,6727.7634,37
P_amp,-0.515,0.065,0.145,0.1427,0.23,0.595,0.0208,477
T_amp,-0.965,0.015,0.205,0.2236,0.45,2.31,0.1453,37
ST,-0.615,-0.13,-0.05,-0.0483,0.06,2.425,0.027,8
QRS_max,0.025,1.14,1.62,1.62,2.0163,3.78,0.3654,8
QRS_min,-1.475,-0.525,-0.235,-0.3288,-0.08,0,0.0926,8
P_yra,–,–,–,–,–,–,–,7
T_tipas,–,–,–,–,–,–,–,36
