Požymis,Minimumas,1-as kvartilis,Mediana,Vidurkis,3-as kvartilis,Maksimumas,Dispersija,Neegzistuojančios reikšmės
RR_pre,561.1111,686.1111,850,928.6295,1061.1111,4377.7778,120179.1809,2
RR_post,538.8889,677.7778,827.7778,874.5194,1002.7778,4100,73876.3538,0
RR_vid,581.6667,679.5139,842.7778,881.6108,1019.9306,1710.2778,44641.5423,2
RR_sant_vid,0.6944,0.9808,1.0021,1.0451,1.0226,3.8656,0.0513,2
RR_sant_post,0.5318,0.9774,1.0034,1.0766,1.0294,3.7703,0.1072,2
PR,75,147.2222,158.3333,165.4816,191.6667,311.1111,1032.6343,489
QRS,38.8889,88.8889,123.6111,114.5611,139.5833,233.3333,1112.4043,0
QT,175,372.2222,441.6667,441.7198,500,755.5556,6586.7109,7
QTc,151.3968,435.1715,469.7762,467.0625,503.9615,729.7593,3980.9147,9
P_amp,-0.925,0.175,0.23,0.1919,0.305,0.77,0.0433,488
T_amp,-1.765,-0.29,0.095,0.1056,0.575,0.935,0.25,7
ST,-1.56,-0.15,-0.06,-0.0654,0.06,0.665,0.079,0
QRS_max,0,1.46,1.59,1.5915,1.775,2.595,0.1675,0
QRS_min,-2.745,-1.06,-0.5375,-0.7035,-0.34,0,0.2122,0
P_yra,–,–,–,–,–,–,–,0
T_tipas,–,–,–,–,–,–,–,7
