Požymis,Minimumas,1-as kvartilis,Mediana,Vidurkis,3-as kvartilis,Maksimumas,Dispersija,Neegzistuojančios reikšmės
RR_pre,255.5556,558.3333,716.6667,735.1298,841.6667,4377.7778,65372.6712,4
RR_post,277.7778,686.1111,769.4444,836.7564,927.7778,5694.4444,102328.9704,2
RR_vid,360.2778,668.5417,780.2778,807.1378,926.3889,11036.6667,80003.7503,4
RR_sant_vid,0.0664,0.7751,0.974,0.9167,1.0132,3.8656,0.0415,4
RR_sant_post,0.1312,0.8412,0.9879,0.9296,1.0235,4.069,0.0902,6
PR,-36.1111,150,172.2222,175.1656,202.7778,333.3333,1735.0272,2786
QRS,30.5556,77.7778,108.3333,113.3742,144.4444,444.4444,2021.5234,35
QT,169.4444,375,422.2222,431.6087,469.4444,919.4444,8107.8207,160
QTc,151.3968,446.6024,503.6538,512.4445,561.7571,1140.6099,9230.4717,163
P_amp,-2.065,-0.01,0.105,0.0951,0.215,2.13,0.0444,2786
T_amp,-3.425,-0.295,0.19,0.0774,0.455,2.31,0.308,160
ST,-3.08,-0.235,-0.08,-0.1033,0.045,2.425,0.1118,35
QRS_max,0,0.815,1.47,1.3704,1.8,3.78,0.4978,35
QRS_min,-2.935,-0.775,-0.425,-0.5923,-0.245,0,0.264,35
P_yra,–,–,–,–,–,–,–,31
T_tipas,–,–,–,–,–,–,–,156
