record,sample,time_seconds,annotation_code,annotation,symbol,description,event,wave,subtype,channel,number,aux
124,160,0.4444444444444444,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
124,183,0.5083333333333333,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
124,202,0.5611111111111111,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
124,212,0.5888888888888889,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
124,243,0.675,3,RBBB,R,Right bundle branch block beat,qrs_peak,qrs,0,0,0,
124,271,0.7527777777777778,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
124,317,0.8805555555555555,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
124,345,0.9583333333333334,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
124,387,1.075,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
124,411,1.1416666666666666,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
124,663,1.8416666666666666,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
124,692,1.9222222222222223,3,RBBB,R,Right bundle branch block beat,qrs_peak,qrs,0,0,0,
124,716,1.988888888888889,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
124,749,2.0805555555555557,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
124,784,2.1777777777777776,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
124,822,2.283333333333333,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
124,849,2.3583333333333334,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
124,1045,2.9027777777777777,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
124,1062,2.95,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
124,1082,3.0055555555555555,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
124,1091,3.0305555555555554,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
124,1118,3.1055555555555556,3,RBBB,R,Right bundle branch block beat,qrs_peak,qrs,0,0,0,
124,1144,3.1777777777777776,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
124,1172,3.2555555555555555,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
124,1218,3.3833333333333333,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
124,1256,3.488888888888889,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
124,1281,3.558333333333333,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
124,1474,4.094444444444444,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
124,1493,4.147222222222222,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
124,1513,4.2027777777777775,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
