record,beat_number,qrs_sample,qrs_seconds,qrs_annotation,qrs_symbol,p_onset_sample,p_peak_sample,p_offset_sample,qrs_onset_sample,qrs_offset_sample,t_onset_sample,t_peak_sample,t_offset_sample,t_wave_type,aami_class
100,1,370,1.0277777777777777,NORMAL,N,295,310,330,350,385,439,516,536,biphasic_negative_positive,N
100,2,663,1.8416666666666666,NORMAL,N,587,604,628,643,670,758,782,818,normal,N
100,3,947,2.6305555555555555,NORMAL,N,865,884,907,924,959,1042,1063,1111,normal,N
100,4,1231,3.4194444444444443,NORMAL,N,1146,1167,1191,1213,1238,1306,1365,1382,biphasic_negative_positive,N
100,5,1515,4.208333333333333,NORMAL,N,1432,1455,1475,1495,1528,1595,1649,1676,biphasic_negative_positive,N
100,6,1809,5.025,NORMAL,N,1728,1746,1768,1789,1817,1888,1901,1931,inverted,N
100,7,2045,5.680555555555555,APC,A,1965,1982,2001,2024,2053,2129,2184,2207,biphasic_negative_positive,S
100,8,2403,6.675,NORMAL,N,2321,2338,2367,2382,2418,2486,2539,2576,biphasic_negative_positive,N
100,9,2706,7.516666666666667,NORMAL,N,2625,2642,2665,2686,2718,2771,2834,2886,biphasic_negative_positive,N
100,11,3283,9.119444444444444,NORMAL,N,3206,3222,3244,3264,3296,3378,3404,3443,normal,N
100,12,3560,9.88888888888889,NORMAL,N,3483,3498,3520,3541,3572,3635,3691,3708,biphasic_negative_positive,N
100,13,3863,10.730555555555556,NORMAL,N,3776,3795,3820,3843,3870,3942,3990,4041,biphasic_negative_positive,N
100,14,4171,11.58611111111111,NORMAL,N,4084,4106,4126,4145,4183,4270,4303,4344,normal,N
100,15,4466,12.405555555555555,NORMAL,N,4381,4402,4429,4446,4480,4568,4609,4633,normal,N
100,16,4765,13.23611111111111,NORMAL,N,4685,4700,4723,4744,4780,4846,4938,4950,biphasic_negative_positive,N
100,17,5061,14.058333333333334,NORMAL,N,4980,4998,5019,5041,5067,5139,5189,5230,biphasic_negative_positive,N
100,19,5634,15.65,NORMAL,N,5554,5577,5594,5611,5642,5712,5767,5791,biphasic_negative_positive,N
100,20,5919,16.441666666666666,NORMAL,N,5838,5855,5879,5899,5925,5993,6048,6088,biphasic_negative_positive,N
100,21,6215,17.26388888888889,NORMAL,N,6130,6146,6174,6195,6228,6293,6347,6388,biphasic_negative_positive,N
