irasas,R,klase,QRS,QRS_on,QRS_off,T_on,into_T_wave_ms,past_next_R_ms,amplitude_ratio,verdict
222,525620.0,A,33.333333333333336,525614.0,525626.0,,,-405.6,0.83,negalima patikrinti: nerasta T banga
220,557974.0,A,38.88888888888889,557968.0,557982.0,558018.0,-100.0,-472.2,2.88,priestaravimu nera: gali buti tikra reiksme
222,270956.0,A,33.333333333333336,270950.0,270962.0,,,-391.7,0.66,negalima patikrinti: nerasta T banga
209,503386.0,A,36.11111111111111,503380.0,503393.0,503431.0,-105.6,-708.3,1.5,priestaravimu nera: gali buti tikra reiksme
209,577841.0,A,38.88888888888889,577833.0,577847.0,577880.0,-91.7,-608.3,1.75,priestaravimu nera: gali buti tikra reiksme
209,550562.0,A,38.88888888888889,550555.0,550569.0,550606.0,-102.8,-580.6,1.75,priestaravimu nera: gali buti tikra reiksme
220,558152.0,A,38.88888888888889,558146.0,558160.0,558185.0,-69.4,-1005.6,2.86,priestaravimu nera: gali buti tikra reiksme
222,514335.0,A,30.555555555555554,514330.0,514341.0,514380.0,-108.3,-1344.4,0.92,priestaravimu nera: gali buti tikra reiksme
222,249821.0,A,33.333333333333336,249814.0,249826.0,249859.0,-91.7,-1127.8,0.5,priestaravimu nera: gali buti tikra reiksme
232,622977.0,A,38.88888888888889,622972.0,622986.0,623056.0,-194.4,-708.3,0.91,priestaravimu nera: gali buti tikra reiksme
232,246360.0,A,252.77777777777777,246351.0,246442.0,246458.0,-44.4,-544.4,0.72,priestaravimu nera: gali buti tikra reiksme
209,507498.0,A,36.11111111111111,507491.0,507504.0,507539.0,-97.2,-691.7,1.54,priestaravimu nera: gali buti tikra reiksme
222,302600.0,A,30.555555555555554,302595.0,302606.0,302673.0,-186.1,-683.3,0.79,priestaravimu nera: gali buti tikra reiksme
111,341911.0,L,252.77777777777777,341818.0,341909.0,341957.0,-133.3,-913.9,0.33,priestaravimu nera: gali buti tikra reiksme
207,466297.0,L,405.55555555555554,466265.0,466411.0,466459.0,-133.3,-702.8,0.81,priestaravimu nera: gali buti tikra reiksme
207,438260.0,L,444.4444444444444,438216.0,438376.0,438392.0,-44.4,-675.0,0.78,priestaravimu nera: gali buti tikra reiksme
203,207343.0,N,252.77777777777777,207311.0,207402.0,,,-241.7,0.76,negalima patikrinti: nerasta T banga
231,201877.0,N,38.88888888888889,201869.0,201883.0,201986.0,-286.1,-1619.4,1.14,priestaravimu nera: gali buti tikra reiksme
121,592913.0,N,341.6666666666667,592895.0,593018.0,593021.0,-8.3,-500.0,0.58,priestaravimu nera: gali buti tikra reiksme
121,578609.0,N,291.6666666666667,578591.0,578696.0,,,-533.3,0.39,negalima patikrinti: nerasta T banga
113,506952.0,N,38.88888888888889,506944.0,506958.0,507027.0,-191.7,-994.4,1.43,priestaravimu nera: gali buti tikra reiksme
222,595650.0,N,36.11111111111111,595643.0,595656.0,,,-480.6,0.49,itartina: per maza QRS amplitude
222,576554.0,N,36.11111111111111,576547.0,576560.0,576618.0,-161.1,-566.7,0.61,priestaravimu nera: gali buti tikra reiksme
113,190804.0,N,36.11111111111111,190797.0,190810.0,190879.0,-191.7,-1013.9,1.43,priestaravimu nera: gali buti tikra reiksme
113,110796.0,N,38.88888888888889,110789.0,110803.0,110873.0,-194.4,-875.0,1.48,priestaravimu nera: gali buti tikra reiksme
203,551273.0,N,255.55555555555551,551242.0,551334.0,551344.0,-27.8,-283.3,0.71,priestaravimu nera: gali buti tikra reiksme
222,559497.0,N,38.88888888888889,559488.0,559502.0,559554.0,-144.4,-766.7,0.57,priestaravimu nera: gali buti tikra reiksme
205,382293.0,N,38.88888888888889,382286.0,382300.0,382375.0,-208.3,-677.8,0.71,priestaravimu nera: gali buti tikra reiksme
113,509160.0,N,38.88888888888889,509152.0,509166.0,509239.0,-202.8,-955.6,1.46,priestaravimu nera: gali buti tikra reiksme
203,631072.0,N,252.77777777777777,631049.0,631140.0,,,-450.0,1.03,negalima patikrinti: nerasta T banga
203,199019.0,N,258.33333333333337,198979.0,199072.0,,,-216.7,0.77,negalima patikrinti: nerasta T banga
231,242753.0,R,38.88888888888889,242746.0,242760.0,242832.0,-200.0,-905.6,0.89,priestaravimu nera: gali buti tikra reiksme
231,215762.0,R,38.88888888888889,215755.0,215769.0,215868.0,-275.0,-936.1,0.91,priestaravimu nera: gali buti tikra reiksme
233,95177.0,V,263.8888888888889,95111.0,95206.0,95216.0,-27.8,-683.3,1.23,priestaravimu nera: gali buti tikra reiksme
207,553386.0,V,391.6666666666667,553365.0,553506.0,,,-1019.4,0.49,negalima patikrinti: nerasta T banga
203,578105.0,V,347.22222222222223,578001.0,578126.0,,,-283.3,1.3,negalima patikrinti: nerasta T banga
205,526500.0,V,255.55555555555551,526444.0,526536.0,,,-211.1,0.69,negalima patikrinti: nerasta T banga
214,51614.0,V,283.3333333333333,51562.0,51664.0,51676.0,-33.3,-963.9,1.58,priestaravimu nera: gali buti tikra reiksme
208,73740.0,V,255.55555555555551,73696.0,73788.0,,,-566.7,0.82,negalima patikrinti: nerasta T banga
207,77082.0,V,430.5555555555556,76933.0,77088.0,,,-1377.8,0.23,negalima patikrinti: nerasta T banga
119,589011.0,V,263.8888888888889,588977.0,589072.0,589076.0,-11.1,-1102.8,1.65,priestaravimu nera: gali buti tikra reiksme
207,30831.0,V,316.66666666666663,30788.0,30902.0,,,-997.2,1.07,negalima patikrinti: nerasta T banga
223,222020.0,V,255.55555555555551,221979.0,222071.0,222081.0,-27.8,-383.3,0.98,priestaravimu nera: gali buti tikra reiksme
208,552166.0,V,294.44444444444446,552129.0,552235.0,552243.0,-22.2,-594.4,1.16,priestaravimu nera: gali buti tikra reiksme
106,278414.0,V,269.44444444444446,278386.0,278483.0,,,-797.2,1.12,negalima patikrinti: nerasta T banga
203,580358.0,V,255.55555555555551,580334.0,580426.0,,,-172.2,0.99,negalima patikrinti: nerasta T banga
207,11699.0,V,391.6666666666667,11682.0,11823.0,11832.0,-25.0,-1038.9,0.43,priestaravimu nera: gali buti tikra reiksme
210,643032.0,V,363.88888888888886,642972.0,643103.0,,,-600.0,0.6,negalima patikrinti: nerasta T banga
203,627081.0,V,272.2222222222222,627057.0,627155.0,,,-738.9,0.88,negalima patikrinti: nerasta T banga
