irasas,R,klase,QT,QRS_on,T_off,RR_post,past_next_R_ms,QT_to_RR_ratio,verdict
202,274139.0,A,786.1111111111111,274121.0,274404.0,1258.3333333333333,-522.2,0.62,priestaravimu nera: gali buti tikra reiksme
209,550950.0,A,183.33333333333331,550942.0,551008.0,422.22222222222223,-261.1,0.43,priestaravimu nera: gali buti tikra reiksme
209,264945.0,A,183.33333333333331,264935.0,265001.0,363.88888888888886,-208.3,0.5,priestaravimu nera: gali buti tikra reiksme
209,217212.0,A,197.22222222222223,217202.0,217273.0,380.55555555555554,-211.1,0.52,priestaravimu nera: gali buti tikra reiksme
209,265211.0,A,186.11111111111111,265200.0,265267.0,369.44444444444446,-213.9,0.5,priestaravimu nera: gali buti tikra reiksme
111,7261.0,L,716.6666666666666,7224.0,7482.0,880.5555555555555,-266.7,0.81,priestaravimu nera: gali buti tikra reiksme
207,531372.0,L,702.7777777777777,531351.0,531604.0,1013.8888888888888,-369.4,0.69,priestaravimu nera: gali buti tikra reiksme
207,356436.0,L,725.0,356397.0,356658.0,1022.2222222222222,-405.6,0.71,priestaravimu nera: gali buti tikra reiksme
111,420755.0,L,711.1111111111111,420729.0,420985.0,897.2222222222223,-258.3,0.79,priestaravimu nera: gali buti tikra reiksme
207,397371.0,L,705.5555555555557,397337.0,397591.0,1005.5555555555557,-394.4,0.7,priestaravimu nera: gali buti tikra reiksme
207,304228.0,L,752.7777777777777,304194.0,304465.0,980.5555555555557,-322.2,0.77,priestaravimu nera: gali buti tikra reiksme
207,336982.0,L,733.3333333333333,336931.0,337195.0,975.0,-383.3,0.75,priestaravimu nera: gali buti tikra reiksme
207,393507.0,L,708.3333333333334,393469.0,393724.0,1008.3333333333331,-405.6,0.7,priestaravimu nera: gali buti tikra reiksme
207,416561.0,L,708.3333333333334,416518.0,416773.0,1013.8888888888888,-425.0,0.7,priestaravimu nera: gali buti tikra reiksme
207,341112.0,L,769.4444444444445,341065.0,341342.0,1022.2222222222222,-383.3,0.75,priestaravimu nera: gali buti tikra reiksme
111,29589.0,L,708.3333333333334,29552.0,29807.0,872.2222222222223,-266.7,0.81,priestaravimu nera: gali buti tikra reiksme
111,381048.0,L,708.3333333333334,381019.0,381274.0,897.2222222222223,-269.4,0.79,priestaravimu nera: gali buti tikra reiksme
207,483942.0,L,736.1111111111112,483899.0,484164.0,1000.0,-383.3,0.74,priestaravimu nera: gali buti tikra reiksme
111,13196.0,L,713.8888888888889,13156.0,13413.0,877.7777777777777,-275.0,0.81,priestaravimu nera: gali buti tikra reiksme
111,337910.0,L,711.1111111111111,337881.0,338137.0,905.5555555555557,-275.0,0.79,priestaravimu nera: gali buti tikra reiksme
207,423543.0,L,738.8888888888889,423503.0,423769.0,991.6666666666669,-363.9,0.75,priestaravimu nera: gali buti tikra reiksme
111,259769.0,L,711.1111111111111,259738.0,259994.0,902.7777777777778,-277.8,0.79,priestaravimu nera: gali buti tikra reiksme
207,453734.0,L,811.1111111111111,453692.0,453984.0,991.6666666666669,-297.2,0.82,priestaravimu nera: gali buti tikra reiksme
207,467721.0,L,702.7777777777777,467683.0,467936.0,966.6666666666666,-369.4,0.73,priestaravimu nera: gali buti tikra reiksme
111,110562.0,L,705.5555555555557,110535.0,110789.0,897.2222222222223,-266.7,0.79,priestaravimu nera: gali buti tikra reiksme
111,279648.0,L,708.3333333333334,279618.0,279873.0,883.3333333333333,-258.3,0.8,priestaravimu nera: gali buti tikra reiksme
207,474783.0,L,752.7777777777777,474722.0,474993.0,1000.0,-416.7,0.75,priestaravimu nera: gali buti tikra reiksme
207,465272.0,L,733.3333333333333,465223.0,465487.0,944.4444444444443,-347.2,0.78,priestaravimu nera: gali buti tikra reiksme
207,520018.0,L,705.5555555555557,519998.0,520252.0,1002.7777777777776,-352.8,0.7,priestaravimu nera: gali buti tikra reiksme
111,378864.0,L,722.2222222222222,378831.0,379091.0,891.6666666666667,-261.1,0.81,priestaravimu nera: gali buti tikra reiksme
207,445283.0,L,702.7777777777777,445245.0,445498.0,980.5555555555557,-383.3,0.72,priestaravimu nera: gali buti tikra reiksme
207,347060.0,L,730.5555555555555,347024.0,347287.0,938.8888888888888,-308.3,0.78,priestaravimu nera: gali buti tikra reiksme
207,339400.0,L,713.8888888888889,339361.0,339618.0,980.5555555555557,-375.0,0.73,priestaravimu nera: gali buti tikra reiksme
207,401929.0,L,819.4444444444445,401887.0,402182.0,1000.0,-297.2,0.82,priestaravimu nera: gali buti tikra reiksme
111,288301.0,L,708.3333333333334,288271.0,288526.0,888.8888888888888,-263.9,0.8,priestaravimu nera: gali buti tikra reiksme
207,487473.0,L,733.3333333333333,487421.0,487685.0,986.1111111111112,-397.2,0.74,priestaravimu nera: gali buti tikra reiksme
207,492811.0,L,747.2222222222223,492754.0,493023.0,972.2222222222222,-383.3,0.77,priestaravimu nera: gali buti tikra reiksme
207,406812.0,L,713.8888888888889,406768.0,407025.0,938.8888888888888,-347.2,0.76,priestaravimu nera: gali buti tikra reiksme
207,432646.0,L,705.5555555555557,432607.0,432861.0,972.2222222222222,-375.0,0.73,priestaravimu nera: gali buti tikra reiksme
207,425279.0,L,713.8888888888889,425241.0,425498.0,997.2222222222224,-388.9,0.72,priestaravimu nera: gali buti tikra reiksme
207,460016.0,L,844.4444444444445,459966.0,460270.0,994.4444444444443,-288.9,0.85,priestaravimu nera: gali buti tikra reiksme
207,466297.0,L,802.7777777777778,466265.0,466554.0,1019.4444444444443,-305.6,0.79,priestaravimu nera: gali buti tikra reiksme
207,472669.0,L,733.3333333333333,472627.0,472891.0,1005.5555555555557,-388.9,0.73,priestaravimu nera: gali buti tikra reiksme
207,539502.0,L,708.3333333333334,539483.0,539738.0,1008.3333333333331,-352.8,0.7,priestaravimu nera: gali buti tikra reiksme
111,85220.0,L,713.8888888888889,85186.0,85443.0,888.8888888888888,-269.4,0.8,priestaravimu nera: gali buti tikra reiksme
207,396673.0,L,736.1111111111112,396637.0,396902.0,938.8888888888888,-302.8,0.78,priestaravimu nera: gali buti tikra reiksme
111,20395.0,L,733.3333333333333,20359.0,20623.0,902.7777777777778,-269.4,0.81,priestaravimu nera: gali buti tikra reiksme
207,438260.0,L,811.1111111111111,438216.0,438508.0,997.2222222222224,-308.3,0.81,priestaravimu nera: gali buti tikra reiksme
207,471277.0,L,719.4444444444445,471225.0,471484.0,958.3333333333334,-383.3,0.75,priestaravimu nera: gali buti tikra reiksme
207,464199.0,L,730.5555555555555,464160.0,464423.0,1011.1111111111112,-388.9,0.72,priestaravimu nera: gali buti tikra reiksme
207,286022.0,L,708.3333333333334,286003.0,286258.0,950.0,-294.4,0.75,priestaravimu nera: gali buti tikra reiksme
207,350145.0,L,708.3333333333334,350109.0,350364.0,986.1111111111112,-377.8,0.72,priestaravimu nera: gali buti tikra reiksme
207,457924.0,L,713.8888888888889,457885.0,458142.0,1002.7777777777776,-397.2,0.71,priestaravimu nera: gali buti tikra reiksme
111,352853.0,L,711.1111111111111,352823.0,353079.0,900.0,-272.2,0.79,priestaravimu nera: gali buti tikra reiksme
231,195959.0,N,755.5555555555555,195944.0,196216.0,1619.4444444444446,-905.6,0.47,priestaravimu nera: gali buti tikra reiksme
228,191517.0,N,702.7777777777777,191478.0,191731.0,858.3333333333333,-263.9,0.82,priestaravimu nera: gali buti tikra reiksme
231,201877.0,N,752.7777777777777,201869.0,202140.0,1636.111111111111,-905.6,0.46,priestaravimu nera: gali buti tikra reiksme
121,513639.0,N,711.1111111111111,513621.0,513877.0,1069.4444444444443,-408.3,0.66,priestaravimu nera: gali buti tikra reiksme
108,45906.0,N,844.4444444444445,45869.0,46173.0,1108.3333333333337,-366.7,0.76,priestaravimu nera: gali buti tikra reiksme
121,91415.0,N,766.6666666666667,91391.0,91667.0,986.1111111111112,-286.1,0.78,priestaravimu nera: gali buti tikra reiksme
231,192440.0,N,772.2222222222223,192423.0,192701.0,1675.0,-950.0,0.46,priestaravimu nera: gali buti tikra reiksme
231,196542.0,N,775.0,196527.0,196806.0,1663.888888888889,-930.6,0.47,priestaravimu nera: gali buti tikra reiksme
108,439133.0,N,875.0,439097.0,439412.0,1152.7777777777776,-377.8,0.76,priestaravimu nera: gali buti tikra reiksme
121,347589.0,N,766.6666666666667,347560.0,347836.0,972.2222222222222,-286.1,0.79,priestaravimu nera: gali buti tikra reiksme
231,332154.0,N,761.1111111111111,332138.0,332412.0,1652.7777777777776,-936.1,0.46,priestaravimu nera: gali buti tikra reiksme
228,375763.0,N,713.8888888888889,375725.0,375982.0,869.4444444444445,-261.1,0.82,priestaravimu nera: gali buti tikra reiksme
228,65223.0,N,730.5555555555555,65193.0,65456.0,969.4444444444443,-322.2,0.75,priestaravimu nera: gali buti tikra reiksme
121,298051.0,N,713.8888888888889,298034.0,298291.0,1011.1111111111112,-344.4,0.71,priestaravimu nera: gali buti tikra reiksme
231,506321.0,N,811.1111111111111,506305.0,506597.0,1758.3333333333333,-991.7,0.46,priestaravimu nera: gali buti tikra reiksme
228,104540.0,N,736.1111111111112,104502.0,104767.0,888.8888888888888,-258.3,0.83,priestaravimu nera: gali buti tikra reiksme
231,47398.0,R,750.0,47381.0,47651.0,1697.2222222222222,-994.4,0.44,priestaravimu nera: gali buti tikra reiksme
207,68300.0,R,175.0,68284.0,68347.0,613.8888888888889,-483.3,0.29,priestaravimu nera: gali buti tikra reiksme
231,298517.0,R,727.7777777777777,298501.0,298763.0,1633.3333333333333,-950.0,0.45,priestaravimu nera: gali buti tikra reiksme
231,459830.0,R,750.0,459812.0,460082.0,1630.5555555555554,-930.6,0.46,priestaravimu nera: gali buti tikra reiksme
231,129534.0,R,738.8888888888889,129517.0,129783.0,1688.888888888889,-997.2,0.44,priestaravimu nera: gali buti tikra reiksme
231,434894.0,R,755.5555555555555,434875.0,435147.0,1613.888888888889,-911.1,0.47,priestaravimu nera: gali buti tikra reiksme
231,462176.0,R,730.5555555555555,462157.0,462420.0,1627.7777777777778,-950.0,0.45,priestaravimu nera: gali buti tikra reiksme
231,49782.0,R,708.3333333333334,49770.0,50025.0,1638.888888888889,-963.9,0.43,priestaravimu nera: gali buti tikra reiksme
231,463354.0,R,730.5555555555555,463338.0,463601.0,1672.2222222222222,-986.1,0.44,priestaravimu nera: gali buti tikra reiksme
231,51559.0,R,708.3333333333334,51542.0,51797.0,1622.2222222222222,-961.1,0.44,priestaravimu nera: gali buti tikra reiksme
231,131917.0,R,716.6666666666666,131901.0,132159.0,1630.5555555555554,-958.3,0.44,priestaravimu nera: gali buti tikra reiksme
228,471951.0,V,788.8888888888889,471889.0,472173.0,1516.6666666666663,-900.0,0.52,priestaravimu nera: gali buti tikra reiksme
228,220068.0,V,730.5555555555555,220033.0,220296.0,1086.111111111111,-452.8,0.67,priestaravimu nera: gali buti tikra reiksme
228,221250.0,V,722.2222222222222,221215.0,221475.0,1233.3333333333337,-608.3,0.59,priestaravimu nera: gali buti tikra reiksme
203,456865.0,V,169.44444444444446,456842.0,456903.0,308.33333333333337,-202.8,0.55,priestaravimu nera: gali buti tikra reiksme
228,441613.0,V,736.1111111111112,441574.0,441839.0,1361.111111111111,-733.3,0.54,priestaravimu nera: gali buti tikra reiksme
108,83824.0,V,919.4444444444443,83802.0,84133.0,1488.888888888889,-630.6,0.62,priestaravimu nera: gali buti tikra reiksme
228,471218.0,V,702.7777777777777,471191.0,471444.0,1122.2222222222222,-494.4,0.63,priestaravimu nera: gali buti tikra reiksme
207,11699.0,V,744.4444444444445,11682.0,11950.0,1383.3333333333333,-686.1,0.54,priestaravimu nera: gali buti tikra reiksme
