irasas,R,klase,ritmas,RR_pre,RR_post,RR_vid,RR_sant,R_ecg,P_on,P_peak,P_off,QRS_on,QRS_off,T_on,T_peak,T_off,T_tipas,rastas,PR,QRS,QT,QTc,P_amp,T_amp,ST,QRS_max,QRS_min,P_yra,RR_sant_vid,RR_sant_post
232,219303.0,A,(SBR,0.12466307277628032,0.08717948717948718,0.05398725120333029,0.8214709371293002,219303.0,,,,219289.0,219342.0,219379.0,219409.0,219443.0,0.0,True,,0.2818791946308725,0.3444444444444445,0.33994411611902897,,0.6451612903225806,0.55858310626703,0.19444444444444445,0.9028960817717205,0.0,0.19874066149889918,0.22721283002616974
200,627857.0,A,(N,0.09366576819407009,0.10307692307692305,0.03827240796149343,0.8345375722543353,627859.0,627813.0,627824.0,627834.0,627842.0,627875.0,627914.0,627955.0,627970.0,0.0,True,0.05208333333333333,0.14765100671140938,0.24814814814814815,0.29565930523860284,0.4839094159713944,0.6329555361813427,0.5513169845594914,0.2724867724867725,0.8671209540034072,1.0,0.20218000536134376,0.16157018442902862
209,207536.0,A,(SVTA,0.033018867924528315,0.019487179487179495,0.0014049694289059449,1.0436713545521836,207538.0,207457.0,207474.0,207490.0,207525.0,207544.0,,,,,True,0.45833333333333337,0.05369127516778525,,,0.5244338498212157,,0.5440508628519528,0.40211640211640215,0.798977853492334,1.0,0.25722730588615916,0.2261495833145286
232,567637.0,A,(SBR,0.12331536388140159,0.09333333333333334,0.03767399505658904,1.0018214936247722,567638.0,567550.0,567561.0,567571.0,567614.0,567645.0,567711.0,567742.0,567775.0,0.0,True,0.4166666666666667,0.1342281879194631,0.3703703703703704,0.36422362547414705,0.48271752085816444,0.6495204882301656,0.5277020890099909,0.19312169312169314,0.8654173764906303,1.0,0.24621176432189873,0.21432509656231696
232,442693.0,A,(SBR,0.11725067385444744,0.09025641025641026,0.04594770391570183,0.8684296441397322,442694.0,,,,442682.0,442707.0,442767.0,442799.0,442832.0,0.0,True,,0.09395973154362416,0.32962962962962966,0.33696723176911897,,0.6495204882301656,0.5449591280653951,0.23544973544973546,0.8449744463373083,0.0,0.21110093169847186,0.2114277057687287
232,155435.0,A,(SBR,0.1132075471698113,0.08307692307692306,0.055001951346429025,0.7622398123717384,155436.0,,,,155414.0,155443.0,155510.0,155539.0,155575.0,0.0,True,,0.12080536912751678,0.3703703703703704,0.3789356967719467,,0.6538796861377506,0.5304268846503178,0.18386243386243387,0.8824531516183985,0.0,0.1831500979413162,0.2186903113900823
232,211439.0,A,(SBR,0.11051212938005389,0.08615384615384615,0.046363991153896174,0.8314387788242936,211441.0,211349.0,211357.0,211365.0,211418.0,211479.0,211512.0,211543.0,211582.0,0.0,True,0.4687500000000001,0.3355704697986578,0.38148148148148153,0.39306558603909036,0.4874851013110846,0.6538796861377507,0.5631244323342416,0.17989417989417988,0.9011925042589438,1.0,0.2013643541961729,0.20925787680209032
232,14318.0,A,(SBR,0.1132075471698113,0.461025641025641,0.0567451541563679,0.7475560667050029,14320.0,14262.0,14276.0,14288.0,14297.0,14357.0,14394.0,14424.0,14484.0,5.0,True,0.11458333333333341,0.3288590604026846,0.46666666666666673,0.46484606537259643,0.49940405244338487,0.6512641673931997,0.5658492279745686,0.20370370370370372,0.8620102214650768,1.0,0.17928510515217622,0.032770206077225764
207,633519.0,A,(SVTA,0.053908355795148265,0.03641025641025641,0.011551970859893328,0.9879379666858128,633517.0,,,,633503.0,633540.0,,633546.0,633586.0,2.0,True,,0.17449664429530198,0.0814814814814815,0.18414077827578837,,0.6355710549258937,0.6221616712079927,0.05158730158730159,0.6490630323679728,0.0,0.2425574016868615,0.22211398091710546
209,205097.0,A,(SVTA,0.02897574123989219,0.019487179487179495,0.0010927540002601812,1.0082150858849888,205098.0,,,,205086.0,205105.0,205135.0,205147.0,205172.0,1.0,True,,0.05369127516778525,0.09259259259259263,0.2413100969836026,,0.5911072362685266,0.5649409627611263,0.4113756613756614,0.7700170357751277,0.0,0.24789465835611088,0.21510817515517866
