irasas,R,klase,ritmas,RR_pre,RR_post,RR_vid,RR_sant,R_ecg,P_on,P_peak,P_off,QRS_on,QRS_off,T_on,T_peak,T_off,T_tipas,rastas,PR,QRS,QT,QTc,P_amp,T_amp,ST,QRS_max,QRS_min,P_yra,RR_sant_vid,RR_sant_post
232,219303.0,A,(SBR,0.1342090373359813,-0.27120773153702366,0.4579431246397956,0.8214709371293002,219303.0,,,,219289.0,219342.0,219379.0,219409.0,219443.0,0.0,True,,0.7528253547358151,-0.04254527534742299,-0.2578241840093003,,0.356086283033148,0.2940024020163484,-0.9004765513304634,0.5980146001006715,0.0,-0.4671012862026689,0.32056481022119737
200,627857.0,A,(N,-0.3655460402667189,-0.0020171312840856635,-0.13522699404227048,0.8345375722543353,627859.0,627813.0,627824.0,627834.0,627842.0,627875.0,627914.0,627955.0,627970.0,0.0,True,-2.3433215780770302,-0.48280369857437505,-0.8446272902867109,-0.7137904238731627,-0.6172789382932075,0.2299523802127158,0.17436287033770162,-0.482382299723682,0.39366558812362434,1.0,-0.40298052007984936,-0.5400410830266664
209,207536.0,A,(SVTA,-1.34332771383722,-1.417438674549534,-1.5268198055861248,1.0436713545521836,207538.0,207457.0,207474.0,207490.0,207525.0,207544.0,,,,,True,0.32697149979014556,-1.3477440358915076,,,0.1894414797515408,,0.05472333865905477,0.21207933853842936,0.004429374834010758,1.0,0.6232835651097888,0.30662514679522146
232,567637.0,A,(SBR,0.11248055570108087,-0.1670049185358862,-0.1578145978993691,1.0018214936247722,567638.0,567550.0,567561.0,567571.0,567614.0,567645.0,567711.0,567742.0,567775.0,0.0,True,0.05309528667556336,-0.6063666039053938,0.17339988252084695,-0.007836967934592298,-0.6410060094121701,0.40113410546901657,-0.21446560761790054,-0.907562894578036,0.3839346827913842,1.0,0.4179173695191813,0.15160057563400342
232,442693.0,A,(SBR,0.014702388344031233,-0.21910632503645475,0.1544835771683414,0.8684296441397322,442694.0,,,,442682.0,442707.0,442767.0,442799.0,442832.0,0.0,True,,-0.9770553198984507,-0.16594250841500546,-0.28847484586270816,,0.40113410546901657,0.06967828011888565,-0.6807999106557139,0.2671638188044999,0.0,-0.23666489298947588,0.11361442243555948
232,155435.0,A,(SBR,-0.05048305656066912,-0.34067627353778207,0.49624384422357154,0.7622398123717384,155436.0,,,,155414.0,155443.0,155510.0,155539.0,155575.0,0.0,True,,-0.7299295092364128,0.17339988252084695,0.1436417828357263,,0.44618192790488503,-0.16960078323840802,-0.957167297311044,0.4812437361137875,0.0,-0.7577610514313201,0.208830590845813
232,211439.0,A,(SBR,-0.09394001983046905,-0.28857486703721313,0.1701966928950183,0.8314387788242936,211441.0,211349.0,211357.0,211365.0,211418.0,211479.0,211512.0,211543.0,211582.0,0.0,True,0.3954405530687916,1.2470769760598912,0.26594780732153384,0.2891262582290702,-0.5460977249363179,0.4461819279048852,0.36877710931550245,-0.9784263270537616,0.5882836947684312,1.0,-0.41818696052065873,0.08516694627060943
232,14318.0,A,(SBR,-0.05048305656066912,6.059113158282068,0.5620425163290328,0.7475560667050029,14320.0,14262.0,14276.0,14288.0,14297.0,14357.0,14394.0,14424.0,14484.0,5.0,True,-1.9325072584051564,1.1852955233943812,0.9754818974601349,1.028194001923351,-0.3088270137466859,0.419153234443364,0.4136419336949953,-0.8508721485974554,0.3644728721269035,1.0,-0.8298173239677574,-2.228669251672364
207,633519.0,A,(SVTA,-1.0065362484962697,-1.1308809387964065,-1.1438126097483665,0.9879379666858128,633517.0,,,,633503.0,633540.0,,633546.0,633586.0,2.0,True,,-0.23567788791233732,-2.2328461622970166,-1.8620099240464472,,0.256981073674237,1.340848304204508,-1.6658016220683003,-0.851890294403139,0.0,0.349787940994216,0.2537165052492625
209,205097.0,A,(SVTA,-1.4085131587419202,-1.417438674549534,-1.5386046423811326,1.0082150858849888,205098.0,,,,205086.0,205105.0,205135.0,205147.0,205172.0,1.0,True,,-1.3477440358915076,-2.1402982374963293,-1.2733819324498394,,-0.20250671517162294,0.3986869922351644,0.26168374127143723,-0.1609960158140752,0.0,0.44929209071397014,0.1618671035254748
