irasas,R,klase,ritmas,RR_pre,RR_post,RR_vid,RR_sant,R_ecg,P_on,P_peak,P_off,QRS_on,QRS_off,T_on,T_peak,T_off,T_tipas,rastas,PR,QRS,QT,QTc,P_amp,T_amp,ST,QRS_max,QRS_min,P_yra
232,219303.0,A,(SBR,769.4444444444445,750.0,936.6666666666666,0.8214709371293002,219303.0,,,,219289.0,219342.0,219379.0,219409.0,219443.0,0.0,True,,147.22222222222223,427.77777777777777,487.6739818312583,,0.275,-0.005,0.735,-0.285,0.0
200,627857.0,A,(N,641.6666666666667,836.1111111111111,768.8888888888889,0.8345375722543353,627859.0,627813.0,627824.0,627834.0,627842.0,627875.0,627914.0,627955.0,627970.0,0.0,True,80.55555555555556,91.66666666666666,355.55555555555554,443.86686857412207,-0.035,0.205,-0.045,1.03,-0.39,1.0
232,567637.0,A,(SBR,763.8888888888888,783.3333333333334,762.5,1.0018214936247722,567638.0,567550.0,567561.0,567571.0,567614.0,567645.0,567711.0,567742.0,567775.0,0.0,True,177.77777777777777,86.11111111111111,447.22222222222223,511.69158956180127,-0.0399999999999999,0.3,-0.175,0.73,-0.3949999999999999,1.0
232,442693.0,A,(SBR,738.8888888888889,766.6666666666667,850.8333333333334,0.8684296441397322,442694.0,,,,442682.0,442707.0,442767.0,442799.0,442832.0,0.0,True,,69.44444444444444,416.6666666666667,484.72920895592586,,0.3,-0.08,0.89,-0.455,0.0
232,155435.0,A,(SBR,722.2222222222222,727.7777777777777,947.5,0.7622398123717384,155436.0,,,,155414.0,155443.0,155510.0,155539.0,155575.0,0.0,True,,80.55555555555556,447.22222222222223,526.2449626207938,,0.3249999999999999,-0.16,0.695,-0.345,0.0
232,211439.0,A,(SBR,711.1111111111111,744.4444444444445,855.2777777777777,0.8314387788242936,211441.0,211349.0,211357.0,211365.0,211418.0,211479.0,211512.0,211543.0,211582.0,0.0,True,191.66666666666669,169.44444444444446,455.55555555555554,540.2224336120981,-0.02,0.325,0.0199999999999999,0.6799999999999999,-0.29,1.0
232,14318.0,A,(SBR,722.2222222222222,2775.0,966.1111111111112,0.7475560667050029,14320.0,14262.0,14276.0,14288.0,14297.0,14357.0,14394.0,14424.0,14484.0,5.0,True,97.22222222222224,166.66666666666666,519.4444444444445,611.2286211806736,0.03,0.31,0.035,0.77,-0.4049999999999999,1.0
207,633519.0,A,(SVTA,477.7777777777778,475.0,483.6111111111112,0.9879379666858128,633517.0,,,,633503.0,633540.0,,633546.0,633586.0,2.0,True,,102.77777777777776,230.5555555555556,333.55128533453507,,0.22,0.345,0.195,-1.0299999999999998,0.0
209,205097.0,A,(SVTA,375.0,383.33333333333337,371.94444444444446,1.0082150858849888,205098.0,,,,205086.0,205105.0,205135.0,205147.0,205172.0,1.0,True,,52.77777777777778,238.8888888888889,390.1039219988025,,-0.035,0.03,1.555,-0.675,0.0
207,630910.0,A,(N,569.4444444444445,783.3333333333334,678.3333333333333,0.8394758394758396,630909.0,630797.0,630829.0,630842.0,630888.0,630932.0,630946.0,630985.0,631063.0,0.0,True,252.77777777777777,122.2222222222222,486.1111111111111,644.1839021032715,0.18,0.55,0.195,0.015,-1.39,1.0
201,187323.0,A,(NOD,616.6666666666667,1836.111111111111,1240.0,0.4973118279569893,187324.0,187234.0,187254.0,187291.0,187301.0,187333.0,187374.0,187408.0,187436.0,0.0,True,186.11111111111111,88.88888888888889,375.0,477.53590497526,0.06,0.205,0.0,1.08,0.0,1.0
209,209844.0,A,(SVTA,386.1111111111112,405.55555555555554,439.1666666666666,0.8791903858317522,209845.0,209773.0,209783.0,209801.0,209834.0,209851.0,,209891.0,209914.0,2.0,True,169.44444444444446,47.22222222222222,222.2222222222222,357.6278538572134,0.245,0.0499999999999999,0.095,1.6,-0.5050000000000001,1.0
232,637453.0,A,(SBR,752.7777777777777,752.7777777777777,998.3333333333331,0.7540345019476906,637454.0,637364.0,637378.0,637388.0,637440.0,637461.0,637527.0,637556.0,637593.0,0.0,True,211.11111111111111,58.333333333333336,425.0,489.8414533770029,-0.0199999999999999,0.32,-0.1599999999999999,0.7549999999999999,-0.35,1.0
232,434422.0,A,(SBR,744.4444444444445,750.0,1069.7222222222222,0.6959231368475721,434423.0,,,,434411.0,434437.0,434498.0,434529.0,434565.0,0.0,True,,72.22222222222221,427.77777777777777,495.79492095868073,,0.2749999999999999,-0.04,0.865,-0.415,0.0
222,574405.0,A,(NOD,422.22222222222223,394.44444444444446,801.3888888888889,0.5268630849220104,574405.0,,,,574396.0,574411.0,,574439.0,574484.0,3.0,True,,41.66666666666666,244.44444444444443,376.1920624312231,,-0.035,-0.03,1.31,0.0,0.0
232,192912.0,A,(SBR,744.4444444444445,719.4444444444445,892.2222222222223,0.8343711083437111,192913.0,192790.0,192812.0,192832.0,192900.0,192921.0,192987.0,193014.0,193049.0,0.0,True,305.5555555555556,58.333333333333336,413.88888888888886,479.69768326521705,-0.08,0.32,-0.18,0.855,-0.41,1.0
202,273099.0,A,(N,508.3333333333333,1313.888888888889,986.9444444444443,0.5150576977202365,273100.0,273018.0,273058.0,273067.0,273079.0,273111.0,273152.0,273193.0,273228.0,0.0,True,169.44444444444446,88.88888888888889,413.88888888888886,580.5096895801289,-0.035,0.28,-0.03,1.515,0.0,1.0
232,176122.0,A,(SBR,727.7777777777777,730.5555555555555,947.7777777777776,0.7678780773739742,176123.0,176024.0,176027.0,176042.0,176111.0,176130.0,176195.0,176224.0,176254.0,0.0,True,241.66666666666663,52.77777777777778,397.2222222222222,465.6226963272191,-0.095,0.365,-0.225,0.88,-0.405,1.0
213,233709.0,A,(N,463.8888888888889,613.8888888888889,555.0,0.8358358358358359,233709.0,,,,233693.0,233725.0,233759.0,233794.0,233834.0,0.0,True,,88.88888888888889,391.6666666666667,575.0553214730658,,0.68,-0.51,2.55,-0.6699999999999999,0.0
