record,sample,time_seconds,annotation_code,annotation,symbol,description,event,wave,subtype,channel,number,aux
122,254,0.7055555555555556,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
122,271,0.7527777777777778,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
122,294,0.8166666666666667,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
122,303,0.8416666666666667,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
122,326,0.9055555555555556,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
122,337,0.9361111111111111,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
122,374,1.038888888888889,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
122,419,1.163888888888889,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
122,471,1.3083333333333333,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
122,487,1.3527777777777779,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
122,504,1.4,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
122,527,1.4638888888888888,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
122,538,1.4944444444444445,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
122,562,1.5611111111111111,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
122,598,1.6611111111111112,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
122,605,1.6805555555555556,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
122,660,1.8333333333333333,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
122,704,1.9555555555555555,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
122,723,2.0083333333333333,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
122,741,2.058333333333333,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
122,756,2.1,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
122,775,2.1527777777777777,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
122,798,2.216666666666667,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
122,809,2.2472222222222222,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
122,859,2.386111111111111,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
122,901,2.5027777777777778,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
122,935,2.5972222222222223,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
122,948,2.6333333333333333,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
122,965,2.6805555555555554,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
122,995,2.763888888888889,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
122,996,2.7666666666666666,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
122,1019,2.8305555555555557,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
122,1029,2.8583333333333334,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
122,1071,2.975,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
122,1112,3.088888888888889,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
122,1155,3.2083333333333335,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
122,1183,3.286111111111111,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
122,1198,3.327777777777778,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
122,1221,3.3916666666666666,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
122,1230,3.4166666666666665,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
122,1253,3.4805555555555556,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
122,1268,3.522222222222222,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
